relations__type,relations__sentence,relations__score,relations__arguments__text,relations__arguments__location__001,relations__arguments__location__002,relations__arguments__entities__type,relations__arguments__entities__text,relations__arguments__entities__disambiguation__subtype__-,language,keywords__text,keywords__sentiment__score,keywords__sentiment__label,keywords__relevance,keywords__emotion__sadness,keywords__emotion__joy,keywords__emotion__fear,keywords__emotion__disgust,keywords__emotion__anger,entities__type,entities__text,entities__sentiment__score,entities__sentiment__label,entities__relevance,entities__emotion__sadness,entities__emotion__joy,entities__emotion__fear,entities__emotion__disgust,entities__emotion__anger,entities__disambiguation__subtype__001,entities__disambiguation__subtype__002,entities__disambiguation__subtype__003,entities__disambiguation__subtype__004,entities__disambiguation__name,entities__disambiguation__dbpedia_resource,entities__count
,,,,,,,,,,wages,"-86,72%",negative,"82,61%","51,61%","1,57%","24,68%","23,28%","3,84%",,,,,,,,,,,,,,,,,
,,,,,,,,,,absence,"-86,72%",negative,"81,25%","51,61%","1,57%","24,68%","23,28%","3,84%",,,,,,,,,,,,,,,,,
employedBy,The words inadapte al invaliditė: hanficape Cl and not otherwise L people administration attitude of people and their incomprehensionLes notions invisible illness and financial loss.,"40,67%",people,450,456,Person,people,,en,notions invisible illness,"-58,83%",negative,"97,80%","75,95%","4,53%","7,14%","7,45%","16,12%",,,,,,,,,,,,,,,,,
,,,administration,457,471,GeopoliticalEntity,administration,Country,,links al state,"-73,24%",negative,"87,33%","51,07%","3,41%","64,78%","0,62%","0,89%",,,,,,,,,,,,,,,,,
,,,,,,,,,,certain normalcy,"-61,60%",negative,"73,85%","85,71%","3,67%","12,23%","8,51%","6,35%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,peristeen matin.toutes outputs,"-45,07%",negative,"90,44%","18,67%","14,12%","11,56%","16,39%","6,07%",,,,,,,,,,,,,,,,,
,,,,,,,,,,care binding,"0,00%",neutral,"78,26%","8,58%","55,21%","1,31%","8,22%","14,33%",,,,,,,,,,,,,,,,,
,,,,,,,,,,Bcp,"0,00%",neutral,"52,73%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,,,,,,
managerOf,Then in the months that follow a daily monitoring i.e. doctor once a month would be that for the medical treatment but also on my moral state I want to say and monitor very closely the status of my leg that is for 1 years at little prèsJ'ai also had a follow-up psycologue also lhopital and then after min return in moiCeci during the first 6 moisÀ this day I'm all six me see my specialist at the centre of reduction and I also see a NeurologuePuis my doctor for my treatment I am always,"75,90%",my,127,129,Person,my,,en,min return,"0,00%",neutral,"91,35%","17,80%","21,19%","32,22%","5,94%","7,59%",Quantity,1 years,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,state,136,141,GeopoliticalEntity,state,,,follow-up psycologue,"0,00%",neutral,"86,38%","17,80%","21,19%","32,22%","5,94%","7,59%",,,,,,,,,,,,,,,,,
employedBy,Then in the months that follow a daily monitoring i.e. doctor once a month would be that for the medical treatment but also on my moral state I want to say and monitor very closely the status of my leg that is for 1 years at little prèsJ'ai also had a follow-up psycologue also lhopital and then after min return in moiCeci during the first 6 moisÀ this day I'm all six me see my specialist at the centre of reduction and I also see a NeurologuePuis my doctor for my treatment I am always,"58,92%",I,142,143,Person,my,,,moral state,"0,00%",neutral,"86,05%","17,80%","21,19%","32,22%","5,94%","7,59%",,,,,,,,,,,,,,,,,
,,,state,136,141,GeopoliticalEntity,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,Same for my recreation: I love knitting or make work manuals but my pain can forbid these activities.,"92,27%",my,352,354,Person,who,,en,vacuum mop,"-62,73%",negative,"98,98%","68,37%","3,03%","25,07%","2,40%","3,54%",,,,,,,,,,,,,,,,,
,,,pain,355,359,HealthCondition,pain,,,pleasant things,"0,00%",neutral,"93,69%","17,48%","50,34%","14,35%","5,60%","6,47%",,,,,,,,,,,,,,,,,
,,,,,,,,,,real chore,"20,43%",positive,"81,27%","10,77%","47,18%","15,07%","2,95%","5,39%",,,,,,,,,,,,,,,,,
agentOf,"Hello, thank you for your information but after a call to the Cpam on the platform adviser told me that it was not useful for me to do a debt remedy because how calculations are made for it is a fairness and will send a request for mutual assistance, C tiring things could be simpler when même.Non, I have no disability insurance.","97,43%",adviser,83,90,Person,adviser,,en,debt remedy,"59,69%",positive,"98,76%","13,45%","5,71%","5,89%","4,93%","9,42%",,,,,,,,,,,,,,,,,
,,,told,91,95,EventCommunication,told,,,platform adviser,"59,69%",positive,"94,06%","13,45%","5,71%","5,89%","4,93%","9,42%",,,,,,,,,,,,,,,,,
affectedBy,"Hello, thank you for your information but after a call to the Cpam on the platform adviser told me that it was not useful for me to do a debt remedy because how calculations are made for it is a fairness and will send a request for mutual assistance, C tiring things could be simpler when même.Non, I have no disability insurance.","92,06%",me,96,98,Person,your,,,mutual assistance,"59,69%",positive,"85,79%","13,45%","5,71%","5,89%","4,93%","9,42%",,,,,,,,,,,,,,,,,
,,,told,91,95,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,different monitoring,"-81,93%",negative,"96,29%","51,69%","32,15%","3,90%","3,38%","10,96%",,,,,,,,,,,,,,,,,
,,,,,,,,,,tenan account,"-81,93%",negative,"91,73%","51,69%","32,15%","3,90%","3,38%","10,96%",,,,,,,,,,,,,,,,,
,,,,,,,,,,judgement,"-81,93%",negative,"80,13%","51,69%","32,15%","3,90%","3,38%","10,96%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,large ballads,"-48,12%",negative,"96,82%","17,11%","71,08%","8,89%","1,22%","3,32%",,,,,,,,,,,,,,,,,
,,,,,,,,,,épaulesles stairs,"-59,06%",negative,"90,42%","43,69%","7,90%","19,36%","0,98%","3,29%",,,,,,,,,,,,,,,,,
,,,,,,,,,,apprehension,"-59,06%",negative,"57,91%","43,69%","7,90%","19,36%","0,98%","3,29%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,aah nothing mdphJe,"-43,70%",negative,"94,60%","13,60%","7,07%","20,27%","15,11%","9,38%",,,,,,,,,,,,,,,,,
,,,,,,,,,,ies categode,"-43,70%",negative,"93,54%","13,60%","7,07%","20,27%","15,11%","9,38%",,,,,,,,,,,,,,,,,
,,,,,,,,,,moisAucun cha,"-43,70%",negative,"85,49%","13,60%","7,07%","20,27%","15,11%","9,38%",,,,,,,,,,,,,,,,,
ownerOf,"The most painful remains to be assisted always, I can't do any seule.les big problems remain even preparing meals especially the evening and RB/vk household.","59,87%",RB/vk,469,474,Person,RB/vk,,en,tension limit discomfort,"-70,29%",negative,"92,79%","19,21%","13,48%","16,94%","2,94%","22,89%",,,,,,,,,,,,,,,,,
,,,household,475,484,Facility,household,,,RB/vk household,"-62,70%",negative,"74,08%","47,52%","8,31%","14,52%","21,35%","31,50%",,,,,,,,,,,,,,,,,
,,,,,,,,,,big problems,"-62,70%",negative,"71,95%","47,52%","8,31%","14,52%","21,35%","31,50%",,,,,,,,,,,,,,,,,
spouseOf,"Hello, the morning breakfast, after I pass; the toilet my wife washes me back because it is near retirement.","73,97%",my,55,57,Person,my,,en,morning breakfast,"54,93%",positive,"93,14%","4,70%","77,30%","4,12%","6,49%","3,64%",,,,,,,,,,,,,,,,,
,,,wife,58,62,Person,wife,,,gestures,"0,00%",neutral,"72,87%","16,90%","65,67%","7,23%","12,34%","1,74%",,,,,,,,,,,,,,,,,
,,,,,,,,,,toilet,"-29,01%",negative,"72,12%","5,96%","1,88%","18,11%","68,94%","22,84%",,,,,,,,,,,,,,,,,
relative,"My family never helped me, I have always managed alone.","26,10%",My,0,2,Person,My,,en,family,"-76,21%",negative,"91,38%","14,88%","17,96%","9,12%","7,47%","8,85%",,,,,,,,,,,,,,,,,
,,,family,3,9,Person,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,"Hello, No I have not disability insurance except for the mortgage, except that it reimburses for a small period (if I remember correctly they paid me 6 months of credit real estate).","96,23%",me,147,149,Person,me,,en,credit real estate,"-36,29%",negative,"97,58%","51,32%","18,46%","7,75%","6,14%","16,96%",,,,,,,,,,,,,,,,,
,,,6 months,150,158,Age,6 months,,,disability insurance,"-47,47%",negative,"80,14%","18,31%","11,14%","43,74%","4,36%","30,32%",,,,,,,,,,,,,,,,,
,,,,,,,,,,small period,"-49,99%",negative,"78,53%","19,03%","9,14%","51,95%","3,68%","17,60%",,,,,,,,,,,,,,,,,
agentOf,"Very honestly, with regard to visits for my state of health I have very very little, they are spread over two years I would say, at the start I would say that two or three appointments on the urinary system, one or two appointments sexo, one or two appointments digestive system.","70,45%",I,116,117,Person,my,,en,appointments sexo,"0,00%",neutral,"93,39%","11,34%","5,46%","20,41%","7,03%","22,16%",,,,,,,,,,,,,,,,,
,,,say,124,127,EventCommunication,say,,,regard,"0,00%",neutral,"58,47%","6,36%","31,76%","16,68%","3,80%","2,21%",,,,,,,,,,,,,,,,,
agentOf,"Very honestly, with regard to visits for my state of health I have very very little, they are spread over two years I would say, at the start I would say that two or three appointments on the urinary system, one or two appointments sexo, one or two appointments digestive system.","77,52%",I,142,143,Person,my,,,visits,"0,00%",neutral,"56,80%","6,36%","31,76%","16,68%","3,80%","2,21%",,,,,,,,,,,,,,,,,
,,,say,150,153,EventCommunication,say,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,skiing accident,"-78,46%",negative,"93,61%","32,53%","4,38%","19,82%","17,75%","13,81%",,,,,,,,,,,,,,,,,
,,,,,,,,,,collision,"-48,06%",negative,"74,22%","11,98%","7,05%","8,44%","22,80%","11,69%",,,,,,,,,,,,,,,,,
,,,,,,,,,,runway,"-60,28%",negative,"61,39%","16,45%","14,68%","12,88%","7,26%","9,02%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,so-called functional gripper,"-81,63%",negative,"92,12%","31,73%","5,34%","16,47%","31,24%","17,15%",,,,,,,,,,,,,,,,,
,,,,,,,,,,tendon retraction,"-81,63%",negative,"73,45%","31,73%","5,34%","16,47%","31,24%","17,15%",,,,,,,,,,,,,,,,,
,,,,,,,,,,small finger,"-81,63%",negative,"60,86%","31,73%","5,34%","16,47%","31,24%","17,15%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,maximum duration,"34,58%",positive,"94,82%","8,86%","25,06%","6,15%","5,71%","3,27%",Quantity,24 months,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,,,,,,,,change work,"0,00%",neutral,"81,27%","37,63%","18,99%","17,28%","7,75%","12,68%",,,,,,,,,,,,,,,,,
,,,,,,,,,,employer,"34,58%",positive,"61,26%","8,86%","25,06%","6,15%","5,71%","3,27%",,,,,,,,,,,,,,,,,
partOfMany,Your family is you came to help from the very beginning?,"31,11%",Your,0,4,Person,Your,,en,moral support,"0,00%",neutral,"92,45%","28,35%","13,06%","5,06%","9,83%","13,88%",Person,làon,"0,00%",neutral,"33,00%","26,44%","50,72%","5,07%","6,77%","9,22%",,,,,,,1
,,,family,5,11,Person,family,,,great difficulty,"0,00%",neutral,"88,82%","26,44%","50,72%","5,07%","6,77%","9,22%",,,,,,,,,,,,,,,,,
managerOf,Yes all faitSur what points your family you just help?,"25,68%",your,209,213,Person,your,,,financial assistance,"0,00%",neutral,"83,56%","26,44%","50,72%","5,07%","6,77%","9,22%",,,,,,,,,,,,,,,,,
,,,family,214,220,Person,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,Yes it is normal because you have answered much more quickly and accurately than other participants and I thank you very much for this.,"93,49%",you,25,28,Person,you,,en,Excellent evening,"91,23%",positive,"99,80%","2,64%","82,24%","0,49%","1,68%","1,03%",,,,,,,,,,,,,,,,,
,,,answered,34,42,EventCommunication,answered,,,little bit,"-51,61%",negative,"99,09%","35,06%","10,12%","23,18%","16,84%","22,61%",,,,,,,,,,,,,,,,,
,,,,,,,,,,AnnaAlors okay,"0,00%",neutral,"97,70%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,,,,,,
relative,My family never sustained mas or help they was nothing to do and I'm alone with my children family for me I have c n very durmais I close the period too painful and injury of the password but one thing that person I support c l love of my children,"39,52%",My,0,2,Person,my,,en,children family,"-55,59%",negative,"93,36%","86,70%","0,97%","21,99%","1,97%","6,13%",,,,,,,,,,,,,,,,,
,,,family,3,9,Person,family,,,mas,"-55,59%",negative,"82,04%","86,70%","0,97%","21,99%","1,97%","6,13%",,,,,,,,,,,,,,,,,
parentOf,My family never sustained mas or help they was nothing to do and I'm alone with my children family for me I have c n very durmais I close the period too painful and injury of the password but one thing that person I support c l love of my children,"58,26%",my,80,82,Person,my,,,thing,"36,06%",positive,"76,19%","6,12%","66,50%","1,54%","10,34%","3,90%",,,,,,,,,,,,,,,,,
,,,children,83,91,Person,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partOfMany,My family never sustained mas or help they was nothing to do and I'm alone with my children family for me I have c n very durmais I close the period too painful and injury of the password but one thing that person I support c l love of my children,"87,96%",family,92,98,Person,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,children,83,91,Person,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parentOf,My family never sustained mas or help they was nothing to do and I'm alone with my children family for me I have c n very durmais I close the period too painful and injury of the password but one thing that person I support c l love of my children,"61,37%",my,236,238,Person,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,children,239,247,Person,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spouseOf,Help my wife approaches.,"59,84%",my,272,274,Person,my,,en,time complet.passage crutch,"-79,45%",negative,"97,43%","51,08%","17,86%","10,57%","5,15%","13,02%",Location,Auvergne,"0,00%",neutral,"80,72%","31,22%","26,11%","5,65%","13,65%","7,20%",StateOrCounty,,,,,,1
,,,wife,275,279,Person,wife,,,SEP network Auvergne,"0,00%",neutral,"90,71%","31,22%","26,11%","5,65%","13,65%","7,20%",,,,,,,,,,,,,,,,,
ownerOf,Help my wife approaches.,"36,07%",my,272,274,Person,my,,,idea buying house,"-42,26%",negative,"86,06%","33,29%","29,43%","13,55%","27,81%","9,31%",,,,,,,,,,,,,,,,,
,,,approaches,280,290,Facility,approaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ownerOf,Help my wife approaches.,"68,08%",wife,275,279,Person,wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,approaches,280,290,Facility,approaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,particular appointment,"-50,06%",negative,"99,39%","3,94%","15,06%","11,42%","6,05%","7,00%",,,,,,,,,,,,,,,,,
,,,,,,,,,,e-mails,"-22,06%",negative,"83,39%","7,70%","14,27%","2,35%","3,57%","3,32%",,,,,,,,,,,,,,,,,
,,,,,,,,,,trend,"-43,37%",negative,"80,69%","19,55%","20,83%","45,95%","20,64%","4,48%",,,,,,,,,,,,,,,,,
agentOf,I would say that it is a normal person like all other but needs help to live normally.,"96,60%",I,169,170,Person,person,,en,person,"-17,74%",negative,"97,50%","45,61%","26,20%","11,01%","21,48%","5,03%",,,,,,,,,,,,,,,,,
,,,say,177,180,EventCommunication,say,,,different person,"-44,56%",negative,"91,43%","25,69%","28,67%","7,24%","8,47%","6,55%",,,,,,,,,,,,,,,,,
,,,,,,,,,,normal person,"0,00%",neutral,"90,29%","26,67%","18,71%","13,71%","12,89%","16,71%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,positive Eschoricchia coli,"-36,72%",negative,"95,62%","12,16%","48,05%","8,06%","7,95%","6,17%",,,,,,,,,,,,,,,,,
,,,,,,,,,,treatment antibiotis=que 15jours,"-36,72%",negative,"73,08%","12,16%","48,05%","8,06%","7,95%","6,17%",,,,,,,,,,,,,,,,,
,,,,,,,,,,renal ultrasound,"-36,72%",negative,"70,93%","12,16%","48,05%","8,06%","7,95%","6,17%",,,,,,,,,,,,,,,,,
affectedBy,"I forgot to tell you that they were all unanimous in the verdict, no contradiction.","39,73%",they,26,30,Person,they,,en,contradiction,"0,00%",neutral,"95,16%","15,15%","17,42%","9,37%","7,29%","8,69%",Person,c,"0,00%",neutral,"87,56%","9,15%","3,37%","54,67%","11,66%","34,39%",,,,,,,1
,,,verdict,57,64,EventLegal,verdict,,,verdict,"-40,08%",negative,"91,35%","51,34%","2,96%","20,34%","11,95%","30,70%",,,,,,,,,,,,,,,,,
,,,,,,,,,,nurses,"0,00%",neutral,"78,33%","61,57%","15,73%","10,78%","2,19%","24,59%",,,,,,,,,,,,,,,,,
agentOf,"Sorry but in 6 years, it is really long to explain, if you are missing info, please ask me !!! But I think summary","74,31%",you,55,58,Person,you,,en,info,"-66,02%",negative,"93,94%","87,72%","1,29%","12,68%","1,19%","1,89%",Quantity,6 years,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,ask,84,87,EventCommunication,ask,,,summary,"0,00%",neutral,"85,63%","20,11%","14,69%","17,12%","10,64%","12,98%",,,,,,,,,,,,,,,,,
affectedBy,"Sorry but in 6 years, it is really long to explain, if you are missing info, please ask me !!! But I think summary","86,72%",me,88,90,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ask,84,87,EventCommunication,ask,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,credit rate,"0,00%",neutral,"96,24%","24,79%","5,24%","15,35%","9,99%","10,25%",,,,,,,,,,,,,,,,,
,,,,,,,,,,insurance,"-40,15%",negative,"62,22%","13,39%","9,54%","3,88%","1,19%","16,65%",,,,,,,,,,,,,,,,,
,,,,,,,,,,mortgage,"0,00%",neutral,"54,47%","12,46%","10,82%","3,46%","1,16%","16,34%",,,,,,,,,,,,,,,,,
locatedAt,Then ouij'ai need my spouse in the lives of all day by former I can't lift arm to take qq thing in height or lourdetendre linen ..... I qq both because of medicines have holes memory it reminds me chosesmon spouse has a profession in which it is obliged to be absent several days and these moments where we anticipate everything to my least constraints possiblesmes children who live at home are more Always present if necessary and when my husband is missing more than two days they agree to come see how I'm,"21,72%",my,332,334,Person,me,,en,constraints possiblesmes children,"0,00%",neutral,"99,82%","79,07%","14,35%","5,89%","7,73%","4,01%",Quantity,two days,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,home,387,391,Facility,home,,,qq thing,"0,00%",neutral,"92,51%","73,01%","9,47%","11,53%","4,88%","17,28%",,,,,,,,,,,,,,,,,
locatedAt,Then ouij'ai need my spouse in the lives of all day by former I can't lift arm to take qq thing in height or lourdetendre linen ..... I qq both because of medicines have holes memory it reminds me chosesmon spouse has a profession in which it is obliged to be absent several days and these moments where we anticipate everything to my least constraints possiblesmes children who live at home are more Always present if necessary and when my husband is missing more than two days they agree to come see how I'm,"55,52%",who,375,378,Person,children,,,chosesmon spouse,"0,00%",neutral,"78,34%","79,07%","14,35%","5,89%","7,73%","4,01%",,,,,,,,,,,,,,,,,
,,,home,387,391,Facility,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spouseOf,Then ouij'ai need my spouse in the lives of all day by former I can't lift arm to take qq thing in height or lourdetendre linen ..... I qq both because of medicines have holes memory it reminds me chosesmon spouse has a profession in which it is obliged to be absent several days and these moments where we anticipate everything to my least constraints possiblesmes children who live at home are more Always present if necessary and when my husband is missing more than two days they agree to come see how I'm,"76,69%",my,438,440,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,husband,441,448,Person,husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partOfMany,Then ouij'ai need my spouse in the lives of all day by former I can't lift arm to take qq thing in height or lourdetendre linen ..... I qq both because of medicines have holes memory it reminds me chosesmon spouse has a profession in which it is obliged to be absent several days and these moments where we anticipate everything to my least constraints possiblesmes children who live at home are more Always present if necessary and when my husband is missing more than two days they agree to come see how I'm,"62,55%",husband,441,448,Person,husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,they,479,483,Person,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,
managerOf,"My employer my handed a sheet d allowed me be taken 100 for 100 for my care, nurses, without moving the money.","55,00%",My,77,79,Person,my,,en,cpam,"0,00%",neutral,"93,11%","28,04%","24,72%","18,57%","6,28%","7,90%",Organization,doctors Board,"-43,95%",negative,"80,32%","12,34%","17,20%","13,42%","3,53%","3,16%",,,,,,,1
,,,employer,80,88,Organization,employer,,,accident doctor work,"-50,20%",negative,"78,38%","29,38%","8,63%","34,04%","6,97%","7,15%",,,,,,,,,,,,,,,,,
agentOf,"Jai has phoned the cpam, j had a person who my very well informed on the approach has faire.J had 3 summonses by the cpam, etalés 2 years.","51,66%",person,345,351,Person,Jai,,,work accident,"-43,46%",negative,"63,11%","59,96%","5,41%","23,20%","2,64%","4,90%",,,,,,,,,,,,,,,,,
,,,informed,369,377,EventCommunication,informed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,Each time the doctors Board confirm my judgment.,"96,89%",Board,473,478,Organization,Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,confirm,479,486,EventCommunication,confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"The emeDir timesc was to determine my ipp rates and my wrist was stabilisé.Actuellement, I am more d review and see more about my accident doctor work.","38,71%",my,627,629,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,accident,630,638,NaturalDisaster,accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"The emeDir timesc was to determine my ipp rates and my wrist was stabilisé.Actuellement, I am more d review and see more about my accident doctor work.","45,66%",doctor,639,645,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,accident,630,638,NaturalDisaster,accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,contact,"0,00%",neutral,"96,87%","17,89%","26,89%","2,99%","2,37%","7,39%",Quantity,4 days,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,,,,,,,,Cordialement,"0,00%",neutral,"87,50%","0,00%","85,14%","0,00%","0,00%","0,00%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,disability insurance,"-86,86%",negative,"90,38%","7,67%","1,89%","13,67%","1,69%","13,06%",,,,,,,,,,,,,,,,,
,,,,,,,,,,Bonsoirnon,"-86,86%",negative,"51,00%","7,67%","1,89%","13,67%","1,69%","13,06%",,,,,,,,,,,,,,,,,
locatedAt,Unfortunately I had shifted in the service at home and therefore I is renomcer.,"35,42%",I,14,15,Person,me,,en,current employer,"38,76%",positive,"96,56%","6,81%","14,14%","4,00%","5,54%","1,52%",,,,,,,,,,,,,,,,,
,,,home,46,50,Facility,home,,,ramets paper,"-43,74%",negative,"77,97%","21,94%","45,72%","8,68%","12,35%","7,94%",,,,,,,,,,,,,,,,,
managerOf,My current employer has benefit but nothing build for me and seek me 10 ramets paper without scruples.,"58,98%",My,80,82,Person,me,,,scruples,"-43,74%",negative,"60,61%","21,94%","45,72%","8,68%","12,35%","7,94%",,,,,,,,,,,,,,,,,
,,,employer,91,99,Organization,employer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,psychological support,"-63,88%",negative,"94,35%","86,63%","3,65%","14,90%","1,59%","9,65%",Person,Jai,"-63,88%",negative,"33,00%","86,63%","3,65%","14,90%","1,59%","9,65%",,,,,,,1
,,,,,,,,,,diagnosis véritable.ça,"-63,88%",negative,"88,63%","86,63%","3,65%","14,90%","1,59%","9,65%",,,,,,,,,,,,,,,,,
,,,,,,,,,,Jai,"-63,88%",negative,"77,88%","86,63%","3,65%","14,90%","1,59%","9,65%",,,,,,,,,,,,,,,,,
affectedBy,"Yes I knew l insurance disability existed, I had taken with l l insurance house, but the fact that the house is finished d be paid, I have not thought and certainly not assessed the risks d have a disability or an accident which would be so long.","41,58%",house,103,108,Facility,house,,en,particular loan,"0,00%",neutral,"99,48%","10,65%","4,93%","2,90%","2,42%","3,75%",,,,,,,,,,,,,,,,,
,,,accident,214,222,NaturalDisaster,accident,,,insurance,"-67,40%",negative,"91,55%","12,04%","2,23%","8,26%","5,76%","9,64%",,,,,,,,,,,,,,,,,
